dba_name,address,data_closed,data_opened,reason
Eddies Market,2444 East 4th Street,8/15/2014,8/16/2014,Sewage
Tasty Goody,2000 Long Beach Blvd,8/20/2014,8/21/2014,Vermin (Cockroaches)
Skyroom (rooftop bar),40 Locust Avenue,8/21/2014,8/28/2014,Vermin (Cockroaches)
Steamed,801 East 3rd Street,8/25/2014,8/26/2014,Vermin (Rodents)
Original Rezzani's,3960 Studebaker Rd,8/28/2014,8/29/2014,Lack of adequate refrigeration
Earthly Juice Express,5660 East Pacific Coast Hwy,9/4/2014,9/8/2014,No Hot Water
Pandanus Leaf,763 East Anaheim Street,9/8/2014,9/11/2014,Vermin (Cockroaches)
The Local Spot,6200 East Pacific Coast Hwy,9/26/2014,9/26/2014,Sewage
Fortune Garden,1538 East 4th Street,10/1/2014,10/3/2014,Vermin (Cockroaches)
Public Shorehouse,5258 East 2nd Street,10/3/2014,10/3/2014,Sewage
Manna Bakery,1729 East 7th Street,10/7/2014,10/13/2014,Vermin (Cockroaches)
Long Beach Ice Cream,1370 W Gaylord Street,10/9/2014,10/13/2014,Vermin (Cockroaches)
Perez Fruit Cart,5253 Long Beach Blvd,10/15/2014,10/22/2014,Permit Suspension
El Tri De America,2115 Pacific Avenue,10/17/2014,10/19/2014,Vermin (Cockroaches)
Flores Fruit Cart,Tricycle Cart,11/4/2014,11/11/2014,Permit Suspension
Tom Redgate Memorial Recovery Center,1775 Chestnut Avenue,11/5/2014,11/12/2014,Vermin (Cockroaches)
Nary's Donuts,2608 E Anaheim Street,11/6/2014,11/12/2014,Vermin (Cockroaches)
Mezcala Club,1912 E Anaheim Street,11/6/2014,11/7/2014,Vermin (Cockroaches)
Heng Heng Donuts,924 East Pacific Coast Hwy,1/6/2015,1/20/2015,Vermin (Cockroaches)
Superior Super Warehouse,1033 Long Beach Blvd,1/13/2015,1/14/2015,Vermin (Rodents)
Chipotle,1800 Ximeno Avenue,1/23/2015,1/23/2015,Sewage
Wing Stop,1806 Ximeno Avenue,1/28/2015,1/28/2015,Sewage No water
Jerry's Dogs,1804 Ximeno Avenue,1/28/2015,1/28/2015,Lack of potable water
Chipotle,1800 Ximeno Avenue,1/28/2015,1/28/2015,Sewage No water
The Spoonn Bistro,649 Long Beach Blvd,2/25/2015,2/26/2015,No hot water
Pizza Hut,300 W. Willow St,3/5/2015,3/6/2015,Sewage No Water
Lily Bakery,1171 E Anaheim St,3/24/2015,3/26/2015,Vermin (Cockroaches)
Market on 7th Street,1741 E 7th St,4/2/2015,4/7/2015,Vermin (Cockroaches)
Alien Sandwiches,510 E Broadway,4/15/2015,4/18/2015,Vermin (Cockroaches)
The Sky Room,40 S Locust Ave,5/22/2015,5/26/2015,Outbreak investigation
Golden Spoon,5523 E Stearns St,5/28/2015,5/29/2015,Contaminated equipment
Best Price Beer & Wine Mart,404 W Anaheim St,6/2/2015,6/5/2015,Vermin (Cockroaches)
Perez Fruit Carts,5253 Long Beach Blvd,6/16/2015,6/30/2015,Permit suspension
Chen's Chinese Restaurant,2131 E Broadway,6/18/2015,6/19/2015,Vermin (Cockroaches)
The Peppercorner,601 E Broadway,7/7/2015,7/14/2015,Vermin (Cockroaches)
Louis Burger,555 Atlantic Ave,7/8/2015,7/8/2015,No hot water
H & H Fast Food,2017 Orange Ave,7/9/2015,7/13/2015,Vermin (Cockroaches)
Bamboo Island,816 E Anaheim St,7/16/2015,7/17/2015,Vermin (Cockroaches) (Rodents)
Cafecito Salvadoreno,412 W Anaheim St,8/12/2015,8/15/2015,Vermin (Cockroaches) (Rodents)
Breakfast & Dinner Club of Long Beach,3900 Atlantic Ave,8/19/2015,8/19/2015,Lack of refrigeration
Planet Water & Cellular,1410 Atlantic Ave,8/24/2015,8/27/2015,Vermin (Cockroaches)
KH Supermarket,915 E Anaheim St,9/30/2015,10/2/2015,Permit suspension
Ahimsa Vegan Café,340 E 4th St,10/22/2015,10/23/2015,Vermin (Rodents)
Pandanus Leaf,763 E Anaheim St,11/10/2015,,Vermin (Cockroaches)
Rebel Bite,649 E Broadway,11/11/2015,11/13/2015,Vermin (Cockroaches) (Rodents)
Popi Fruit Bars,1864 Pacific Ave,11/19/2015,11/23/2015,Vermin (Cockroaches)
Long Beach Ice Cream Commissary,1370 Gaylord Ave,11/28/2015,11/29/2015,Sewage
Nugget,468 W Anaheim Street,2/3/2016,2/4/2016,No Hot Water
El Mar Azul Bar #1,300 W. Anaheim Street,2/3/2016,2/5/2016,Vermin (Cockroaches)
Papa John's,141 E Willow Street,5/6/2016,5/6/2016,No Hot Water
Mi Linda Guadalajara Market,2001 Orange Avenue,7/13/2016,7/15/2016,Vermin (Cockroaches)
Café Sevilla,140 Pine Avenue,8/3/2016,8/6/2016,Vermin (Cockroaches)
Café Sevilla,140 Pine Avenue,9/15/2019,9/16/2016,Vermin (Cockroaches)
New Panda,711 E Anaheim St,9/26/2016,9/27/2016,Vermin (Cockroaches)
Rainbow Seafood Market,1107 Long Beach Blvd,9/28/2016,10/1/2016,Lack of toilet facilities
Xela Ju Bakery,2057 Pacific Ave,11/18/2019,11/23/2016,"Vermin (Cockroaches), No hot water"
Hapag Kainan,2535 Santa Fe Ave #37,1/27/2017,1/31/2017,"Vermin (Cockroaches), No hot water"
99 Cents Only Stores,1190 E Carson St,3/9/2017,3/10/2017,Sewage
L'Opera,101 Pine Ave,6/27/2017,6/28/2017,Vermin (Cockroaches)
El Burrito Grill,4101 N Bellflower Blvd,8/1/2017,8/3/2017,Vermin (Cockroaches)
Sweet Embellishments,5555 E Stearns St #107,2/7/2018,2/8/2018,Vermin (Cockroaches)
Zo's Café,1515 Hughes Way,3/26/2018,4/2/2018,No hot water
49ers Tavern,5660 E Pacific Coast Hwy,4/17/2018,,Vermin (Rodents)
Agua Gourmet,1001 E Pacific Coast Hwy,5/1/2018,5/4/2018,Vermin (Cockroaches)
